Time	Price (ETH/USD) – Ethereum
26.09.2017	295
27.09.2017	288.85153
28.09.2017	309.65775
29.09.2017	303.59024
30.09.2017	293.1024
01.10.2017	303.16
02.10.2017	304.60107
03.10.2017	297.1
04.10.2017	291.45
05.10.2017	290.87585
06.10.2017	295.75308
07.10.2017	309
08.10.2017	312.405
09.10.2017	310.5
10.10.2017	297.6983
11.10.2017	299.72656
12.10.2017	303.73993
13.10.2017	302.6
14.10.2017	338
15.10.2017	339.87994
16.10.2017	336.975
17.10.2017	334.15823
18.10.2017	316.18973
19.10.2017	314
20.10.2017	307.0001
21.10.2017	303
22.10.2017	299.7
23.10.2017	293.6
24.10.2017	284.9715
25.10.2017	295.56027
26.10.2017	295.67773
27.10.2017	295.0001
28.10.2017	295.99
29.10.2017	293
30.10.2017	304.52054
31.10.2017	306.8
01.11.2017	304.5
02.11.2017	288.78497
03.11.2017	285
04.11.2017	302.2
05.11.2017	299.5
06.11.2017	295.35
07.11.2017	297.09
08.11.2017	290.8632
09.11.2017	306.38474
10.11.2017	314.5
11.11.2017	297.69733
12.11.2017	313.063
13.11.2017	305.3518
14.11.2017	313.99
15.11.2017	333.76
16.11.2017	330.9243
17.11.2017	331
18.11.2017	330.52
19.11.2017	346.78
20.11.2017	355.49
21.11.2017	368.42
22.11.2017	360.4
23.11.2017	379.99
24.11.2017	406.3654
25.11.2017	470.9
26.11.2017	460.55557
27.11.2017	468.6165
28.11.2017	473
29.11.2017	464.47
30.11.2017	420
01.12.2017	433
02.12.2017	453.47586
03.12.2017	456
04.12.2017	460
05.12.2017	465
06.12.2017	452.5
07.12.2017	417.37433
08.12.2017	412.5
09.12.2017	441.8103
10.12.2017	461.05014
11.12.2017	430
12.12.2017	503
13.12.2017	610
14.12.2017	682
15.12.2017	685
16.12.2017	675.55725
17.12.2017	684.1125
18.12.2017	711
19.12.2017	786
20.12.2017	795.02966
21.12.2017	798.77
22.12.2017	766.52954
23.12.2017	630.9615
24.12.2017	663
25.12.2017	659.93396
26.12.2017	711.2
27.12.2017	749.75
28.12.2017	736.2
29.12.2017	710
30.12.2017	731.7389
31.12.2017	685.17
01.01.2018	736.0444
02.01.2018	754.1297
03.01.2018	855.75
04.01.2018	940
05.01.2018	940.275
06.01.2018	965.6004
07.01.2018	1005.5138
08.01.2018	1116.634
09.01.2018	1128.4242
10.01.2018	1276.5187
11.01.2018	1246.4452
12.01.2018	1137.8832
13.01.2018	1259.7
14.01.2018	1382
15.01.2018	1348.8287
16.01.2018	1275.024
17.01.2018	1023.1
18.01.2018	1016.7117
19.01.2018	990.3628
20.01.2018	1025
21.01.2018	1148.4767
22.01.2018	1045.8348
23.01.2018	995.11975
24.01.2018	984.49774
25.01.2018	1062.0153
26.01.2018	1050.319
27.01.2018	1047.8828
28.01.2018	1113
29.01.2018	1245
30.01.2018	1177.8397
31.01.2018	1076.4
01.02.2018	1123.1566
02.02.2018	1039.7909
03.02.2018	928.825
04.02.2018	971.99
05.02.2018	826
06.02.2018	696.5138
07.02.2018	790.36536
08.02.2018	752
09.02.2018	815
10.02.2018	878.9318
11.02.2018	852.789
12.02.2018	813.405
13.02.2018	868.0474
14.02.2018	840.5
15.02.2018	918.0672
16.02.2018	926.73
17.02.2018	938.9
18.02.2018	971
19.02.2018	910
20.02.2018	939.61
21.02.2018	882.4
22.02.2018	838.5771
23.02.2018	803.1043
24.02.2018	854.323
25.02.2018	828.1922
26.02.2018	839.78
27.02.2018	864.257
28.02.2018	872.29114
01.03.2018	849.3301
02.03.2018	868.55975
03.03.2018	856.836
04.03.2018	855.8407
05.03.2018	865.88
06.03.2018	850.51
07.03.2018	815.3095
08.03.2018	751.5007
09.03.2018	699.0573
10.03.2018	725.1214
11.03.2018	679.1642
12.03.2018	720.4397
13.03.2018	695.6691
14.03.2018	689.1603
15.03.2018	611.0643
16.03.2018	610
17.03.2018	598.75867
18.03.2018	550.03687
19.03.2018	537
20.03.2018	555
21.03.2018	556
22.03.2018	557.5304
23.03.2018	538.12634
24.03.2018	543.3263
25.03.2018	519
26.03.2018	523.5524
27.03.2018	485.9219
28.03.2018	447
29.03.2018	445
30.03.2018	382.3105
31.03.2018	395
01.04.2018	392.99878
02.04.2018	377.511
03.04.2018	383.55255
04.04.2018	415.6232
05.04.2018	378.48752
06.04.2018	382.5
07.04.2018	369
08.04.2018	385.36908
09.04.2018	400.43674
10.04.2018	398
11.04.2018	415.39017
12.04.2018	429.71802
13.04.2018	494.00208
14.04.2018	491.3437
15.04.2018	503
16.04.2018	533.72046
17.04.2018	512.1794
18.04.2018	502
19.04.2018	526.1176
20.04.2018	567.9
21.04.2018	617.0006
22.04.2018	603.25885
23.04.2018	621.81525
24.04.2018	643.79254
25.04.2018	705.2698
26.04.2018	616.8965
27.04.2018	663.69
28.04.2018	642
29.04.2018	684.7113
30.04.2018	689.92975
01.05.2018	670.9425
02.05.2018	671.5215
03.05.2018	686.9582
04.05.2018	779
05.05.2018	785.9955
06.05.2018	820.5791
07.05.2018	795.16705
08.05.2018	755.0253
09.05.2018	747.9263
10.05.2018	752.68756
11.05.2018	723.99976
12.05.2018	677.75214
13.05.2018	683
14.05.2018	730
15.05.2018	727.8783
16.05.2018	706.6584
17.05.2018	706.87225
18.05.2018	667.2966
19.05.2018	693.8393
20.05.2018	697.0645
21.05.2018	716.2126
22.05.2018	697.2339
23.05.2018	640.8078
24.05.2018	576.3812
25.05.2018	602.22
26.05.2018	585.43665
27.05.2018	585.32556
28.05.2018	570.5197
29.05.2018	512.63367
30.05.2018	565.1739
31.05.2018	557.7292
01.06.2018	578.4425
02.06.2018	579.7199
03.06.2018	590.56976
04.06.2018	618.3878
05.06.2018	591.4
06.06.2018	609.83453
07.06.2018	607.11
08.06.2018	605.56
09.06.2018	600.42096
10.06.2018	592.42285
11.06.2018	524.37646
12.06.2018	530.87213
13.06.2018	493.7
14.06.2018	476.137
15.06.2018	519.9891
16.06.2018	487.58035
17.06.2018	497.6964
18.06.2018	494.85532
19.06.2018	518.5554
20.06.2018	537.90234
21.06.2018	536.3
22.06.2018	525.7829
23.06.2018	461.1
24.06.2018	473.55832
25.06.2018	454.43542
26.06.2018	459.33292
27.06.2018	429.41162
28.06.2018	441.04395
29.06.2018	420.56625
30.06.2018	434
01.07.2018	454.2499
02.07.2018	451.6151
03.07.2018	476.1673
04.07.2018	462.32065
05.07.2018	466.71625
06.07.2018	467.96884
07.07.2018	469.7091
08.07.2018	486.35632
09.07.2018	485.93103
10.07.2018	470.64926
